"stop_id","stop_name","stop_lat","stop_lon"
"bandung_stt_mandala","Stt Mandala",-6.942846,107.6416018
"bandung_halte_smkn_6_bnn","Halte Smkn 6 (Bnn)",-6.9381147,107.6768251
"bandung_gmw_motor","Gmw Motor",-6.9382415,107.6776414
"bandung_halte_tmb_kantor_pos","Halte Tmb Kantor Pos",-6.9228306,107.5972294
"bandung_depo_bangunan","Depo Bangunan",-6.9387112,107.6711427
"bandung_lotte_mart","Lotte Mart",-6.9388296,107.669366
"bandung_rancabolang","Rancabolang",-6.958642,107.689607
"bandung_smkn_7_bandung","Smkn 7 Bandung",-6.940639,107.65998
"bandung_showroom_hyundai","Showroom Hyundai",-6.9438349,107.6463993
"bandung_bpn_jabar","Bpn Jabar",-6.944993,107.6416841
"bandung_universitas_mandiri","Universitas Mandiri",-6.9448799,107.6418971
"bandung_kantor_pos_sekejati","Kantor Pos Sekejati",-6.942927,107.650705
"bandung_uninus","Uninus",-6.94581,107.644272
"bandung_halte_carrefour","Halte Carrefour",-6.9457769,107.6411219
"bandung_jalan_soekarno_hatta_518","Jalan Soekarno Hatta 518",-6.949527,107.622187
"bandung_jalan_soekarno_hatta_496","Jalan Soekarno Hatta 496",-6.947243,107.636717
"bandung_stie_inaba","Stie Inaba",-6.949923,107.622853
"bandung_mekarwangi","Mekarwangi",-6.952966,107.60229
"bandung_lapas_banceuy","Lapas Banceuy",-6.949225,107.600908
"bandung_sumbersari","Sumbersari",-6.9326401,107.5734934
"bandung_cibuntu_selatan","Cibuntu Selatan",-6.931142,107.573733
"bandung_jalan_soekarno_hatta_8","Jalan Soekarno Hatta 8",-6.91819,107.574243
"bandung_jalan_jend_sudirman_773","Jalan Jend. Sudirman, 773",-6.914828,107.571541
"bandung_garuda","Garuda",-6.9118754,107.5780072
"bandung_bundaran_cibereum","Bundaran Cibereum",-6.91721,107.574378
"bandung_cibuntu_tengah","Cibuntu Tengah",-6.924976,107.57702
"bandung_taman_sakura_indah","Taman Sakura Indah",-6.9361722,107.578797
"bandung_perempatan_kopo_soekarno_hatta","Perempatan Kopo - Soekarno Hatta",-6.940652,107.587501
"bandung_altamira","Altamira",-6.9475507,107.597498
"bandung_inhoftank","Inhoftank",-6.942919,107.603039
"bandung_karasak_utara","Karasak Utara",-6.948262,107.607475
"bandung_bahana_bandung","Bahana Bandung",-6.933339,107.674588
"bandung_jalan_soekarno_hatta_517","Jalan Soekarno Hatta 517",-6.948247,107.631058
"bandung_naga_mas","Naga Mas",-6.9475841,107.634718
"bandung_seberang_carrefour_kiaracondong","Seberang Carrefour Kiaracondong",-6.946465,107.641104
"bandung_samsat","Samsat",-6.9448799,107.6396341
"bandung_smk_medika_com","Smk Medika Com",-6.94371,107.64673
"bandung_unibi","Unibi",-6.9426097,107.6480201
"bandung_smkn_9_bandung","Smkn 9 Bandung",-6.940428,107.656982
"bandung_jasa_raharja","Jasa Raharja",-6.9401098,107.6581907
"bandung_halte_pt_suparma","Halte Pt Suparma",-6.9395873,107.660129
"bandung_halte_ariesta_yamaha","Halte Ariesta Yamaha",-6.9390038,107.6635275
